Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber
genesis 5,axe,mango,Pikachu_Blue,Fox_Red,NA,NA,Pokemon Stadium,P1:Pikachu_Blue,2
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
450,61,48,NA,NA,4,4,NA,NA,NA
451,61,48,NA,NA,4,4,NA,NA,NA
452,61,48,NA,NA,4,4,NA,NA,NA
453,65,48,NA,NA,4,4,NA,NA,NA
454,65,48,NA,NA,4,4,NA,NA,NA
455,65,48,NA,NA,4,4,NA,NA,NA
456,65,48,NA,NA,4,4,NA,NA,NA
457,65,48,NA,NA,4,4,NA,NA,NA
458,65,48,NA,NA,4,4,NA,NA,NA
459,65,48,NA,NA,4,4,NA,NA,NA
460,65,48,NA,NA,4,4,NA,NA,NA
461,65,48,NA,NA,4,4,NA,NA,NA
462,65,48,NA,NA,4,4,NA,NA,NA
463,65,48,NA,NA,4,4,NA,NA,NA
464,65,48,NA,NA,4,4,NA,NA,NA
465,65,48,NA,NA,4,4,NA,NA,NA
466,65,48,NA,NA,4,4,NA,NA,NA
467,65,48,NA,NA,4,4,NA,NA,NA
468,65,48,NA,NA,4,4,NA,NA,NA
469,65,48,NA,NA,4,4,NA,NA,NA
470,65,48,NA,NA,4,4,NA,NA,NA
471,65,48,NA,NA,4,4,NA,NA,NA
472,65,48,NA,NA,4,4,NA,NA,NA
473,65,51,NA,NA,4,4,NA,NA,NA
474,65,51,NA,NA,4,4,NA,NA,NA
475,65,51,NA,NA,4,4,NA,NA,NA
476,65,51,NA,NA,4,4,NA,NA,NA
477,65,51,NA,NA,4,4,NA,NA,NA
478,65,51,NA,NA,4,4,NA,NA,NA
479,65,51,NA,NA,4,4,NA,NA,NA
480,65,51,NA,NA,4,4,NA,NA,NA
481,65,51,NA,NA,4,4,NA,NA,NA
482,65,51,NA,NA,4,4,NA,NA,NA
483,65,51,NA,NA,4,4,NA,NA,NA
484,65,51,NA,NA,4,4,NA,NA,NA
485,65,51,NA,NA,4,4,NA,NA,NA
486,65,51,NA,NA,4,4,NA,NA,NA
487,65,51,NA,NA,4,4,NA,NA,NA
488,65,51,NA,NA,4,4,NA,NA,NA
489,65,51,NA,NA,4,4,NA,NA,NA
490,65,51,NA,NA,4,4,NA,NA,NA
491,65,51,NA,NA,4,4,NA,NA,NA
492,65,51,NA,NA,4,4,NA,NA,NA
493,65,51,NA,NA,4,4,NA,NA,NA
494,65,51,NA,NA,4,4,NA,NA,NA
495,65,51,NA,NA,4,4,NA,NA,NA
496,65,51,NA,NA,4,4,NA,NA,NA
497,65,51,NA,NA,4,4,NA,NA,NA
498,65,51,NA,NA,4,4,NA,NA,NA
499,65,55,NA,NA,4,4,NA,NA,NA
500,65,55,NA,NA,4,4,NA,NA,NA
501,65,55,NA,NA,4,4,NA,NA,NA
502,65,55,NA,NA,4,4,NA,NA,NA
503,65,55,NA,NA,4,4,NA,NA,NA
504,65,55,NA,NA,4,4,NA,NA,NA
505,65,55,NA,NA,4,4,NA,NA,NA
506,65,55,NA,NA,4,4,NA,NA,NA
507,65,55,NA,NA,4,4,NA,NA,NA
508,65,55,NA,NA,4,4,NA,NA,NA
509,65,55,NA,NA,4,4,NA,NA,NA
510,65,55,NA,NA,4,4,NA,NA,NA
511,65,55,NA,NA,4,4,NA,NA,NA
512,65,55,NA,NA,4,4,NA,NA,NA
513,65,55,NA,NA,4,4,NA,NA,NA
514,65,55,NA,NA,4,4,NA,NA,NA
515,65,55,NA,NA,4,4,NA,NA,NA
516,65,55,NA,NA,4,4,NA,NA,NA
517,65,55,NA,NA,4,4,NA,NA,NA
518,65,55,NA,NA,4,4,NA,NA,NA
519,65,55,NA,NA,4,4,NA,NA,NA
520,65,55,NA,NA,4,4,NA,NA,NA
521,65,55,NA,NA,4,4,NA,NA,NA
522,65,55,NA,NA,4,4,NA,NA,NA
