Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber,GameType(Optional)
genesis 5,plup,hbox,NA,Fox_Green,NA,JigglyPuff_Green,Fountain of Dreams,P4:JigglyPuff_Green,1,WF
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
448,NA,3,NA,35,NA,4,NA,4,NA
449,NA,3,NA,35,NA,4,NA,4,NA
450,NA,3,NA,35,NA,4,NA,4,NA
451,NA,3,NA,35,NA,4,NA,4,NA
452,NA,3,NA,35,NA,4,NA,4,NA
453,NA,3,NA,35,NA,4,NA,4,NA
454,NA,3,NA,35,NA,4,NA,4,NA
455,NA,3,NA,35,NA,4,NA,4,NA
456,NA,3,NA,35,NA,4,NA,4,NA
457,NA,3,NA,35,NA,4,NA,4,NA
458,NA,3,NA,35,NA,4,NA,4,NA
459,NA,3,NA,35,NA,4,NA,4,NA
460,NA,3,NA,35,NA,4,NA,4,NA
461,NA,3,NA,35,NA,4,NA,4,NA
462,NA,3,NA,35,NA,4,NA,4,NA
463,NA,3,NA,35,NA,4,NA,4,NA
464,NA,3,NA,35,NA,4,NA,4,NA
465,NA,3,NA,35,NA,4,NA,4,NA
466,NA,3,NA,35,NA,4,NA,4,NA
467,NA,3,NA,35,NA,4,NA,4,NA
468,NA,3,NA,35,NA,4,NA,4,NA
469,NA,3,NA,35,NA,4,NA,4,NA
470,NA,3,NA,35,NA,4,NA,4,NA
471,NA,3,NA,35,NA,4,NA,4,NA
472,NA,3,NA,35,NA,4,NA,4,NA
473,NA,3,NA,35,NA,4,NA,4,NA
474,NA,3,NA,35,NA,4,NA,4,NA
475,NA,3,NA,35,NA,4,NA,4,NA
476,NA,3,NA,35,NA,4,NA,4,NA
477,NA,3,NA,35,NA,4,NA,4,NA
478,NA,3,NA,35,NA,4,NA,4,NA
479,NA,3,NA,35,NA,4,NA,4,NA
480,NA,3,NA,35,NA,4,NA,4,NA
481,NA,3,NA,35,NA,4,NA,4,NA
482,NA,3,NA,50,NA,4,NA,4,NA
483,NA,3,NA,50,NA,4,NA,4,NA
484,NA,3,NA,50,NA,4,NA,4,NA
485,NA,3,NA,50,NA,4,NA,4,NA
486,NA,3,NA,50,NA,4,NA,4,NA
487,NA,3,NA,50,NA,4,NA,4,NA
488,NA,3,NA,50,NA,4,NA,4,NA
489,NA,3,NA,50,NA,4,NA,4,NA
490,NA,3,NA,50,NA,4,NA,4,NA
491,NA,3,NA,50,NA,4,NA,4,NA
492,NA,3,NA,50,NA,4,NA,4,NA
493,NA,3,NA,50,NA,4,NA,4,NA
494,NA,3,NA,50,NA,4,NA,4,NA
495,NA,3,NA,50,NA,4,NA,4,NA
496,NA,3,NA,50,NA,4,NA,4,NA
497,NA,3,NA,50,NA,4,NA,4,NA
498,NA,3,NA,50,NA,4,NA,4,NA
499,NA,3,NA,50,NA,4,NA,4,NA
500,NA,3,NA,50,NA,4,NA,4,NA
501,NA,3,NA,50,NA,4,NA,4,NA
502,NA,3,NA,50,NA,4,NA,4,NA
503,NA,3,NA,50,NA,4,NA,4,NA
504,NA,3,NA,50,NA,4,NA,4,NA
505,NA,3,NA,50,NA,4,NA,4,NA
506,NA,3,NA,50,NA,4,NA,4,NA
507,NA,3,NA,50,NA,4,NA,4,NA
508,NA,3,NA,50,NA,4,NA,4,NA
509,NA,3,NA,50,NA,4,NA,4,NA
510,NA,3,NA,50,NA,4,NA,4,NA
511,NA,3,NA,50,NA,4,NA,4,NA
512,NA,3,NA,50,NA,4,NA,4,NA
513,NA,3,NA,50,NA,4,NA,4,NA
514,NA,3,NA,50,NA,4,NA,4,NA
515,NA,3,NA,50,NA,4,NA,4,NA
516,NA,3,NA,54,NA,4,NA,4,NA
517,NA,3,NA,54,NA,4,NA,4,NA
518,NA,3,NA,54,NA,4,NA,4,NA
519,NA,3,NA,54,NA,4,NA,4,NA
